年份,出生人口(万),总人口(万人),中国人均GPA(美元计),中国性别比例(按照女生=100),中国就业人口(万人),城镇人口(城镇+乡村=100),乡村人口,美元兑换人民币汇率,自然增长率(%)
1970,2710,82542,113,105.9,34432,17.38,82.62,2.4618,25.95
1971,2551,84779,118,105.82,35520,17.26,82.74,2.2673,23.4
1972,2550,86727,131,105.78,35854,17.13,82.87,2.2401,22.27
1973,2447,88761,157,105.86,36652,17.2,82.8,2.0202,20.99
1974,2226,90409,160,105.88,37369,17.16,82.84,1.8397,17.57
1975,2102,91970,178,106.04,38168,17.34,82.66,1.9663,15.77
1976,1849,93267,165,106.15,38834,17.44,82.55,1.8803,12.72
1977,1783,94774,185,106.17,39377,17.55,82.45,1.73,12.12
1978,1733,96159,156,106.16,40152,17.92,82.08,1.5771,12
1979,1715,97542,183,106,41024,18.96,81.04,1.4962,11.61
1980,1776,98705,194,105.98,42361,19.39,80.61,1.5303,11.87
1981,2064,100072,197,106.11,43725,20.16,79.84,1.7051,14.55
1982,2230,101654,203,106.19,45295,21.13,78.87,1.8926,15.68
1983,2052,103008,225,106.61,46436,21.52,78.38,1.9757,13.29
1984,2050,104357,250,106.61,48197,23.01,76.99,2.327,13.08
1985,2196,105851,294,107.04,49873,23.71,76.29,2.9367,14.26
1986,2374,107507,281,107.04,51282,24.52,75.48,3.4528,15.57
1987,2508,109300,251,106.19,52783,25.32,74.68,3.7221,16.61
1988,2445,111026,283,106.27,54334,25.81,74.19,3.7221,15.73
1989,2396,112704,310,106.4,55329,25.21,73.79,3.7659,15.04
1990,2374,114333,317,106.27,64749,25.41,73.59,4.7838,14.39
1991,2250,115823,333,105.52,65491,26.94,73.06,5.3227,12.98
1992,2113,117171,366,104.27,66152,27.46,72.54,5.5149,11.5
1993,2120,118517,377,104.18,66808,27.99,72.01,5.7619,11.45
1994,2098,119850,473,104.51,67455,28.51,71.49,8.6187,11.21
1995,2052,121121,609,104.21,68065,29.04,70.95,8.3507,10.55
1996,2057,122389,709,103.34,68950,30.48,69.52,8.3142,10.42
1997,2028,123626,781,104.36,69820,31.91,68.09,8.2898,10.06
1998,1934,124761,828,105.13,70537,33.35,66.55,8.2791,9.14
1999,1827,125786,873,105.89,71394,34.78,65.22,8.2796,8.18
2000,1765,126743,959,106.74,72085,36.22,63.78,8.2784,7.58
2001,1696,127627,1053,106,72797,37.66,62.34,8.277,6.95
2002,1641,128453,1148,106.06,73280,39.09,60.91,8.277,6.45
2003,1594,129227,1288,106.2,73736,40.53,59.47,8.2774,6.01
2004,1588,129988,1508,106.29,74264,41.76,58.24,8.278,5.87
2005,1612,130756,1753,106.3,74547,42.99,57.01,8.1013,5.89
2006,1581,131448,2099,106.29,74978,44.34,55.56,7.8087,5.28
2007,1591,132129,2693,106.19,75321,45.89,54.11,7.3872,5.17
2008,1604,132802,3468,106.07,75564,46.99,53.01,6.85,5.08
2009,1587,133450,3832,105.93,75828,48.34,51.66,6.81,4.87
2010,1588,134091,4550,105.21,76105,49.95,50.05,6.622,4.79
2011,1600,134735,5618,105.18,76420,51.27,48.73,6.61,4.79
2012,1635,135404,6316,105.13,76704,52.57,47.43,6.25,4.95
2013,1640,136072,7050,105.1,76977,53.73,46.27,6.07,4.92
2014,1687,136782,7678,105.06,77253,54.77,45.23,6.05,5.21
2015,1655,137462,8066,105.02,77451,56.1,43.9,6.2,4.96
2016,1786,138271,8147,104.98,77603,57.35,42.65,6.56,5.86
2017,1723,139008,8879,104.81,77640,58.52,41.48,6.5,5.32
2018,1523,139538,9976,104.64,77586,59.58,40.42,6.86,3.81
2019,1465,140005,10261,104.6,77471,60.6,39.4,6.8967,3.34
